SHOP_ID,DATE,N_TRANS
15,2021-02-18,1293.0
68,2021-04-05,1883.0
60,2021-09-24,221.0
94,2022-07-23,12.0
16,2021-09-06,448.0
19,2021-06-10,102.0
16,2021-04-22,711.0
100,2021-03-01,1945.0
10,2021-08-18,201.0
68,2022-07-20,1443.0
20,2021-10-13,1245.0
100,2021-01-04,1812.0
100,2021-06-10,2286.0
10,2021-05-23,334.0
68,2022-08-06,1732.0
20,2021-01-20,1224.0
31,2022-11-14,38.0
16,2021-01-14,779.0
53,2022-07-30,293.0
98,2021-10-10,145.0
86,2021-05-10,1752.0
68,2022-11-03,1588.0
34,2021-07-20,280.0
68,2021-11-02,1176.0
86,2021-01-24,1821.0
10,2021-04-03,292.0
34,2021-05-10,268.0
12,2021-04-20,65.0
41,2021-12-08,361.0
16,2022-06-05,558.0
41,2022-05-24,174.0
4,2022-09-03,26.0
100,2022-06-18,1621.0
16,06-18-2022,655.0
8,04-16-2021,49.0
15,10-10-2021,1195.0
15,09-24-2022,1539.0
16,10-28-2022,715.0
11,08-29-2022,74.0
3,05-05-2021,29.0
15,10-09-2021,1296.0
100,05-29-2022,1449.0
10,11-11-2021,308.0
38,08-01-2022,1152.0
21,03-19-2021,455.0
86,07-26-2022,1902.0
16,12-16-2022,761.0
26,07-15-2022,126.0
38,03-31-2022,358.0
41,02-17-2021,280.0
35,09-11-2022,30.0
15,11-14-2022,1385.0
16,03-12-2021,658.0
32,04-02-2022,28.0
100,02-25-2021,2337.0
15,07-28-2021,1324.0
34,12-18-2022,244.0
68,08-31-2021,1070.0
21,04-22-2022,399.0
48,2021-10-02,53.0
68,2022-02-13,1197.0
98,2022-08-05,481.0
21,2022-11-20,322.0
15,2021-10-07,1214.0
12,2022-02-23,64.0
40,2022-01-19,196.0
68,2021-05-09,1953.0
100,2021-08-17,2812.0
86,2022-02-18,1455.0
16,2021-11-07,497.0
62,2022-02-04,13.0
15,2022-07-17,1189.0
10,2022-09-28,429.0
46,2022-01-26,35.0
62,2022-08-10,17.0
86,2021-01-13,1608.0
59,2021-10-05,49.0
68,2022-12-22,1975.0
21,2021-07-02,405.0
21,2022-03-05,357.0
53,2021-03-23,125.0
99,2021-02-10,10.0
23,2021-03-16,34.0
15,2022-10-26,1576.0
38,2022-01-03,1191.0
20,2021-07-05,1163.0
97,2022-02-13,63.0
2,2021-02-07,487.0
10,2022-09-21,485.0
21,2022-08-06,301.0
57,2021-04-07,467.0
97,2022-09-13,86.0
34,2021-10-27,279.0
19,2021-01-30,306.0
20,2021-09-23,1169.0
47,2022-12-22,324.0
2,2021-06-30,852.0
86,2022-10-20,1749.0
45,2021-05-27,78.0
98,2021-07-27,160.0
34,2022-08-19,243.0
47,2022-05-29,204.0
20,2022-03-28,860.0
10,2021-06-28,224.0
16,2021-08-27,649.0
38,2021-05-10,692.0
18,2022-01-05,270.0
16,2021-02-13,778.0
2,2021-04-02,799.0
40,2021-08-17,162.0
98,2022-06-10,460.0
41,2022-01-18,173.0
2,2022-01-01,571.0
2,2022-03-31,619.0
89,2021-01-08,5.0
45,2021-07-09,104.0
72,2022-03-01,18.0
44,2021-07-13,12.0
38,2022-07-04,631.0
41,2022-03-06,159.0
45,2022-10-13,87.0
12,2021-07-01,75.0
100,2021-08-27,790.0
57,2021-01-21,389.0
10,2022-03-16,435.0
12,2021-11-25,102.0
20,2022-01-15,1017.0
11,2021-10-25,93.0
53,2022-01-08,186.0
18,2022-02-23,88.0
36,2021-11-08,3.0
47,2021-01-20,166.0
1,2022-05-11,33.0
3,2022-11-30,23.0
34,2022-05-14,243.0
89,2022-02-28,5.0
41,2021-05-31,170.0
98,2022-08-27,565.0
27,2021-10-16,106.0
40,2022-03-27,46.0
44,2022-02-15,17.0
79,2021-01-19,43.0
21,2021-12-11,368.0
50,2021-07-03,35.0
96,2021-03-09,145.0
41,2021-05-26,397.0
38,2021-09-01,842.0
15,2022-10-15,1449.0
85,2021-05-14,209.0
50,2021-04-05,32.0
2,2022-11-12,630.0
3,2021-04-04,18.0
32,2022-11-12,79.0
3,2021-02-23,22.0
35,2022-01-05,29.0
74,2021-02-02,39.0
35,2021-04-14,25.0
36,2021-01-29,35.0
16,2022-04-05,686.0
15,2021-09-20,1017.0
83,2022-11-17,8.0
16,2022-02-25,568.0
96,2021-07-06,299.0
53,2021-03-19,225.0
26,2022-03-26,36.0
7,2021-07-29,44.0
60,2022-03-20,104.0
