SHOP_ID,DATE,N_TRANS
15,2021-02-18,1293
68,2021-04-05,1883
60,2021-09-24,221
94,2022-07-23,12
16,2021-09-06,448
19,2021-06-10,102
16,2021-04-22,711
100,2021-03-01,1945
10,2021-08-18,201
68,2022-07-20,1443
20,2021-10-13,1245
100,2021-01-04,1812
100,2021-06-10,2286
10,2021-05-23,334
68,2022-08-06,1732
20,2021-01-20,1224
31,2022-11-14,38
16,2021-01-14,779
53,2022-07-30,293
98,2021-10-10,145
86,2021-05-10,1752
68,2022-11-03,1588
34,2021-07-20,280
68,2021-11-02,1176
86,2021-01-24,1821
10,2021-04-03,292
34,2021-05-10,268
12,2021-04-20,65
41,2021-12-08,361
16,2022-06-05,558
41,2022-05-24,174
4,2022-09-03,26
100,2022-06-18,1621
16,06-18-2022,655.0
8,04-16-2021,49.0
15,10-10-2021,1195.0
15,09-24-2022,1539.0
16,10-28-2022,715.0
11,08-29-2022,74.0
3,05-05-2021,29.0
15,10-09-2021,1296.0
100,05-29-2022,1449.0
10,11-11-2021,308.0
38,08-01-2022,1152.0
21,03-19-2021,455.0
86,07-26-2022,1902.0
16,12-16-2022,761.0
26,07-15-2022,126.0
38,03-31-2022,358.0
41,02-17-2021,280.0
35,09-11-2022,30.0
15,11-14-2022,1385.0
16,03-12-2021,658.0
32,04-02-2022,28.0
100,02-25-2021,2337.0
15,07-28-2021,1324.0
34,12-18-2022,244.0
68,08-31-2021,1070.0
21,04-22-2022,399.0
48,2021-10-02,53
68,2022-02-13,1197
98,2022-08-05,481
21,2022-11-20,322
15,2021-10-07,1214
12,2022-02-23,64
40,2022-01-19,196
68,2021-05-09,1953
100,2021-08-17,2812
86,2022-02-18,1455
16,2021-11-07,497
62,2022-02-04,13
15,2022-07-17,1189
10,2022-09-28,429
46,2022-01-26,35
62,2022-08-10,17
86,2021-01-13,1608
59,2021-10-05,49
68,2022-12-22,1975
21,2021-07-02,405
21,2022-03-05,357
53,2021-03-23,125
99,2021-02-10,10
23,2021-03-16,34
15,2022-10-26,1576
38,2022-01-03,1191
20,2021-07-05,1163
97,2022-02-13,63
2,2021-02-07,487
10,2022-09-21,485
21,2022-08-06,301
57,2021-04-07,467
97,2022-09-13,86
34,2021-10-27,279
19,2021-01-30,306
20,2021-09-23,1169
47,2022-12-22,324
2,2021-06-30,852
86,2022-10-20,1749
45,2021-05-27,78
98,2021-07-27,160
34,2022-08-19,243
47,2022-05-29,204
20,2022-03-28,860
10,2021-06-28,224
16,2021-08-27,649
38,2021-05-10,692
18,2022-01-05,270
16,2021-02-13,778
2,2021-04-02,799
40,2021-08-17,162
98,2022-06-10,460
41,2022-01-18,173
2,2022-01-01,571
2,2022-03-31,619
89,2021-01-08,5
45,2021-07-09,104
72,2022-03-01,18
44,2021-07-13,12
38,2022-07-04,631
41,2022-03-06,159
45,2022-10-13,87
12,2021-07-01,75
100,2021-08-27,790
57,2021-01-21,389
10,2022-03-16,435
12,2021-11-25,102
20,2022-01-15,1017
11,2021-10-25,93
53,2022-01-08,186
18,2022-02-23,88
36,2021-11-08,3
47,2021-01-20,166
1,2022-05-11,33
3,2022-11-30,23
34,2022-05-14,243
89,2022-02-28,5
41,2021-05-31,170
98,2022-08-27,565
27,2021-10-16,106
40,2022-03-27,46
44,2022-02-15,17
79,2021-01-19,43
21,2021-12-11,368
50,2021-07-03,35
